product_id,name,category,price,stock_quantity,event_type
62a44148-5f8c-4c33-b867-2d27002ecc61,heart,successful,53.99,4,INSERT
185d836e-9357-4c09-9ef7-40be75e2304e,tough,close,96.64,89,DELETE
bd36f67a-6b43-4cbd-9a67-bf913fa74af6,program,fly,86.11,9,UPDATE
4772eb8c-ddc9-46a2-acb7-87b170c6801a,answer,respond,71.77,31,INSERT
6d48b184-2537-4508-a173-de6f9f7bbd33,employee,mother,98.05,78,INSERT
c92e62b4-41d1-489b-a7bf-6e0469ef6cdd,born,do,55.82,100,DELETE
2edf234e-b7fa-47a4-b14b-3d2a36e09651,any,financial,75.44,13,UPDATE
84d60985-f07a-4d66-8edb-ad9a2cc66d32,lot,many,66.84,17,UPDATE
d743c566-fa4b-40ff-bc80-9b7cff4b4f27,price,support,68.21,98,INSERT
8b696c80-39e9-4602-91a0-8ac5825c6874,three,author,37.47,40,DELETE
39eb42e4-1717-4d3a-945d-9d00e3a88568,all,animal,64.25,100,UPDATE
00fd2502-ac07-4deb-b12e-e3a99a514ec4,bit,manage,42.3,35,UPDATE
2595ffb4-7378-4948-82b7-4e80a0e076a0,scientist,read,41.37,69,UPDATE
16af7888-e5ad-4522-b572-b5087f3f139f,mouth,animal,72.17,42,INSERT
94c450c2-4bf1-45e6-bbcb-d6210255e1b8,treat,prevent,71.4,35,DELETE
3b922130-3345-446d-b744-98e2a98da93e,while,character,31.39,97,UPDATE
82a58c68-a1ef-48ff-b0eb-3057021d6511,establish,anyone,71.92,17,INSERT
af24e46d-b2a3-48f2-867d-24ae59d60ec2,himself,protect,60.36,22,DELETE
a4b5daf1-a027-46c2-bf46-47b2e457ee27,trouble,partner,73.97,2,INSERT
2612ed37-3e03-4e16-b85f-9968cb6b504f,on,political,92.83,17,UPDATE
dc11ed2e-40bb-4c1b-8d52-549a1532a3be,travel,produce,83.55,14,DELETE
51c210d7-144b-4b59-9b2f-795a78636a2e,call,end,14.58,40,UPDATE
80a541ff-2ea8-40c8-babd-2a472803ac80,fund,painting,22.4,2,DELETE
f33bedb8-3da9-491d-abf6-c6a3a3dbbfe6,direction,detail,90.53,52,INSERT
76ab530e-1f40-4c8f-97d3-d34706af0c13,trip,father,64.48,96,UPDATE
f4d03efd-c4a4-4f86-9fe6-762d83265c21,everybody,exist,36.85,32,INSERT
cfae0826-b255-4bbc-a9c8-c275a333a73b,some,responsibility,88.82,37,DELETE
8da81a32-2c91-4727-956d-60d20da96865,summer,near,75.62,42,UPDATE
b21cc9d7-7107-43a8-b30e-20f1649748aa,rise,hope,21.92,14,UPDATE
60432529-6620-487f-a705-67eadf3ca270,husband,success,58.4,58,DELETE
d5f46944-0aac-417b-b6d2-506b41c27b76,forget,mission,86.31,41,DELETE
74e0af00-89d6-4282-8a04-1fb55558862b,pretty,building,36.03,85,UPDATE
22e2ea7a-06b0-4d3a-bfb8-968a1984db5d,world,hotel,74.53,44,INSERT
88bb4da7-c38b-4abc-b94d-0e63eaafef2c,factor,miss,93.96,95,INSERT
83bb7d82-c242-497c-8d33-0dea8914e23c,keep,real,95.36,13,DELETE
6827001a-35f4-4266-aa92-4e1349990623,country,simply,79.82,25,INSERT
043a1d4f-608e-4b7c-b67f-d74d74276966,court,describe,53.38,73,DELETE
193005a6-a7fa-41ed-85b2-48310bcf0d7c,career,make,66.73,15,UPDATE
8ece48ba-1e67-4c10-8254-56df84d44b28,take,operation,32.31,47,UPDATE
53989888-f9cc-4574-9bc4-854299b00072,need,white,62.03,55,UPDATE
653a1e98-767a-4d96-8f46-a23ab41c34dc,difficult,clearly,93.35,17,DELETE
d68e3a41-810c-4331-924d-bcbcf3031038,our,century,42.65,90,INSERT
9973f836-9715-438c-a356-172e7e068a94,risk,plan,22.59,19,UPDATE
c0835ad8-9950-4d2a-9e7e-92cb4bf50e0f,air,degree,69.73,95,INSERT
5bf8dab9-cef9-4fad-bb2b-85b8b8324237,benefit,style,76.09,2,DELETE
93d3cc07-a5ff-4799-a307-08d985e01cf8,say,forward,15.09,3,DELETE
7368b8bb-6bc8-4c8f-97e4-10c3d74e7a83,never,heart,89.1,67,DELETE
2748b46a-5721-4f91-ba07-c2dec3b39c7e,family,wall,38.05,91,UPDATE
22c43028-5124-4e2d-83a1-68abcd376c8d,reveal,spend,40.09,11,INSERT
5667a784-4588-448c-b209-2c4eeaab0bd5,have,woman,11.89,98,INSERT
7a1725c8-c8e9-41fc-9fcc-e53afb940d43,writer,third,64.37,49,DELETE
af5463af-8f70-4361-82c4-afb569d78666,management,such,76.25,6,UPDATE
e21a7414-6ef2-47ae-ad5f-5397d498e64c,organization,beat,52.48,16,DELETE
981f0ac4-b15a-4660-a94e-9d81a0b72a1b,candidate,keep,81.0,10,DELETE
ebfe1a5c-f689-4853-83b5-e73ba7b10ab7,certain,author,17.42,32,INSERT
af837947-f12d-48bb-a5ac-63e79084eabf,voice,family,61.21,88,DELETE
4979f5fd-1ee0-4157-8e98-0b1be09bca3c,under,grow,43.45,82,INSERT
c708bbb4-5aea-40b3-b6be-c80627414caf,operation,room,86.45,21,INSERT
5ea4ef28-4b4f-48a1-87e3-20767bee3394,speak,half,28.03,42,UPDATE
ba37328c-26bd-47f3-a6c8-6ddb5fed2470,charge,per,54.33,77,INSERT
5a8044a5-e311-4e19-a20f-5292bed2fd42,great,important,82.2,32,UPDATE
f45be229-6a25-4a29-8def-6cb4833df692,day,total,38.19,9,DELETE
ff428b08-9ce9-4bf6-9c36-456b84f0da64,town,stuff,78.72,33,UPDATE
c2754798-d4fe-4e3e-842f-3db573e8905c,pretty,reduce,29.19,83,INSERT
83485913-e9fe-497d-b737-b7d6549da562,magazine,section,10.73,90,INSERT
c2f852ac-29f0-472f-9d28-5cc3d0564b75,real,win,17.67,30,INSERT
565d517a-821e-479a-a7c8-4f64e91f0b4e,usually,democratic,81.82,37,UPDATE
446b9b5a-47de-4f21-8345-82e4208dd948,bad,just,79.9,86,INSERT
db61dd5d-4313-449a-ba78-5117bb29ae13,I,authority,10.56,91,UPDATE
095013ab-7c53-4951-9229-8af77fc2dcb4,alone,nature,21.18,99,UPDATE
87e084bc-070b-4758-af99-12f622942dbe,oil,order,30.55,95,DELETE
25753836-4d21-4c56-8ca2-bddc10e5676a,idea,whether,39.79,7,UPDATE
d9e57244-483d-4025-9b8d-76ad28934e1b,discussion,democratic,57.28,14,UPDATE
79e50929-1c5f-4955-9c5a-78385dab3c88,decide,sign,25.03,67,DELETE
ff4b9d3a-4ca7-4cf1-b150-68844d61bb3b,rich,garden,12.03,27,UPDATE
5d9df327-8a19-470e-9a03-2f9336b1d753,number,watch,20.3,28,INSERT
8eb6801b-d096-4afb-98d1-dc24a3f51a5f,so,color,23.35,99,DELETE
60162ddf-05fd-4a63-9d1f-064869ccfa54,green,store,15.95,43,UPDATE
e5d25998-2382-41e0-a970-b474b97b5ad8,such,at,59.74,4,UPDATE
d9f285db-eb91-4884-9d5a-abf60094e93a,certainly,but,58.62,64,DELETE
c7cc7886-f974-46e2-9353-0a5918f02baa,ready,economy,58.79,1,INSERT
f5208f73-7e65-4b19-beea-3f8108cde85c,the,own,99.78,39,UPDATE
612fef8f-9311-4fd7-9e1d-0ec4a2bddaa2,concern,discuss,94.7,99,UPDATE
44ec8469-824d-414b-b88c-4d32b945d14e,maintain,allow,57.08,78,INSERT
8f3c2ccc-4269-4ac1-a6f9-cdefa31ba3dd,line,position,41.06,85,INSERT
cf772e15-ac75-4af5-a9c4-88f3fdddb183,talk,herself,76.8,63,UPDATE
17190ef4-8fc6-4f03-96e6-7f9f73f582b6,so,also,51.64,50,INSERT
2143255d-5bac-48f5-9b44-af31db1af5e1,soon,north,77.53,76,DELETE
4a6129d9-5dfd-42db-86f2-cc0b06906c15,point,chance,68.62,59,DELETE
e23954ad-3258-4dbe-b422-516b58f9e0e6,sound,base,54.9,39,DELETE
384b939a-9a93-4b9e-913d-82a8dc1d13c4,into,do,78.2,25,INSERT
1e34b1c9-4d0e-4fae-a4a7-97dc8296afe3,trip,well,19.72,58,DELETE
56927f84-a765-470b-9330-c9ab1c1cf92b,break,baby,70.29,31,INSERT
4359b7fb-b249-432e-a329-68d3c39eaac0,early,tend,39.87,64,UPDATE
71d57565-167e-463f-a274-ce540e5ff388,dark,financial,33.54,28,UPDATE
b0e6fb48-37af-45ca-91e2-0dfa5acdea33,word,key,81.05,37,UPDATE
fdc6f187-ed65-4aee-bce0-bb3d31498e9d,already,owner,92.81,63,UPDATE
3659e0a6-0069-412b-b163-d4f955c7637a,thought,effort,83.4,90,UPDATE
e4e1920f-b924-4f74-bcc7-70bb544e8e50,situation,discussion,62.33,36,DELETE
94411df1-c0c0-41a2-9d9b-23c52ede0238,coach,while,48.64,97,UPDATE
2528e921-3042-43c3-8af7-dfa50b05d94b,start,senior,14.9,62,DELETE
b467c719-d4bf-4bea-881c-bbc798e448f4,add,anything,77.67,30,UPDATE
4710e13e-5a62-432f-a970-64f93a14793f,summer,special,28.21,92,INSERT
cfdbdf60-00f1-4c14-8baa-1830ee2dc47a,also,dog,16.0,33,DELETE
f993eed3-62fb-443c-9223-280d8e321066,learn,only,24.13,9,DELETE
c26b9109-4224-432e-a42d-5b985709c3d5,produce,whole,77.88,87,DELETE
401902d8-da52-49b9-8f4a-b4a225ba5742,year,where,86.67,85,UPDATE
418d1d73-5787-486b-b5cb-41a402a25c9b,film,music,28.68,52,INSERT
66225054-6928-4530-88a1-d9e72007a63f,street,response,80.36,5,UPDATE
a05be594-e6ac-43b1-8f17-6eb8741ddd50,long,discussion,36.8,4,UPDATE
bc8dda46-98d5-426b-a3fd-6ded86cf265a,environment,meet,78.28,72,INSERT
e7743e55-0d06-4125-9bb9-df4ae9cbaef6,drive,career,71.2,22,UPDATE
