order_id,customer_id,product_id,quantity,price,order_date,event_type
4571347b-33ba-4c92-9d5d-57414c493c27,1c76d956-cb8c-4485-b8d2-0a5c20f075d2,943185f2-86a3-4a85-a506-fa96057bc6d9,5,64.49,2024-01-14,UPDATE
f80e12b0-5388-4fe8-9565-32771960a63b,a9f3eec2-d2db-43c3-9fe3-92efc5dc2a76,185d836e-9357-4c09-9ef7-40be75e2304e,1,67.92,2024-04-09,DELETE
f162fefe-3a26-4c2a-b61c-dae9c6ee886f,a063f136-a66d-4f97-b24f-99ee26650e56,bd36f67a-6b43-4cbd-9a67-bf913fa74af6,3,97.06,2024-01-29,UPDATE
8682ee81-8336-4aee-8b66-d62550a40a87,59c78faa-836e-4094-aca2-505eb34509d5,89c99017-b867-4843-b83e-3b8e9a908275,5,65.26,2024-04-25,UPDATE
56526f2a-bd92-4fe4-a5be-f43b3d7a04f5,2408131e-8bb3-4212-9d71-8c2366f078b3,08935e84-cbea-4df1-8af1-c3cd84985768,1,19.72,2024-03-02,INSERT
660b0213-9b37-4ad4-b1ec-e9f77431db89,042ac438-6d5f-42e5-a05e-c0ee27397be9,c0c33e4a-4f6b-41c2-92fd-707a4fa62502,3,76.21,2024-01-17,INSERT
417e357d-9627-4c57-a5bc-c5653ad5be27,6d60071c-dc60-4967-b8c2-e6da40fbee4b,2edf234e-b7fa-47a4-b14b-3d2a36e09651,3,13.34,2024-03-03,UPDATE
c25fcbc1-25e6-4b69-a404-1af636f9556d,8e4959f5-7d31-43ce-a8c9-267a1dde6c6d,035b2c34-0347-4843-90a8-89f6cccfc406,2,65.75,2024-01-15,INSERT
4c49219b-b1e7-4d36-baa6-a023cfccb3c0,98be2a02-314a-48ee-99fd-653993b4a579,1e033319-47d2-4e02-9622-a4918950ac35,3,31.19,2024-01-17,DELETE
cd730b6d-db53-4f60-94a8-e4c487d32679,ddcc03a4-aba4-4a0d-915e-65fd5d835669,ff64dae0-c5cf-43c2-92f7-ba34f2099993,4,15.5,2024-01-30,INSERT
99ae571f-8bcc-41ec-820f-c5632a321ce7,430cd83b-1ffa-4d16-a277-270c9b11c645,39eb42e4-1717-4d3a-945d-9d00e3a88568,1,50.77,2024-03-25,UPDATE
b3a2b800-6a91-42e2-8866-36b0fe7badc8,bcdae9df-6c62-493d-ab29-008654318fbb,0b430066-7c7b-4d9b-bf43-de4c5ce7b212,5,39.5,2024-02-06,INSERT
e50bcfc9-012e-4a8f-8e07-9f68690c9a5b,770bfe83-cd94-4ef1-a8b7-74d2e73a6783,ae100b69-cee7-4a5f-a52e-47c3e718292c,1,33.47,2024-02-08,INSERT
48c616f0-8dc1-44c5-859e-3f3f50fc5b55,a228d7b1-4ac7-48cf-a09a-c7c2144ca36b,5fbc5fec-8891-48bf-b12d-915226bb1326,3,63.61,2024-04-02,UPDATE
619bb300-bb31-4ede-8072-6277e915b40b,beb43e24-2589-4a40-bb52-e567f07c9619,94c450c2-4bf1-45e6-bbcb-d6210255e1b8,5,20.46,2024-02-29,DELETE
fa49ac58-2ddc-4cc1-afc6-46d91bf0f8e1,649c2734-2742-4f79-b087-af7ca01912e5,3b922130-3345-446d-b744-98e2a98da93e,1,90.61,2024-03-26,DELETE
b34fe91d-5326-401e-8b48-c2ff9410f991,2f88911e-9b10-4a43-9fc7-14104e9fbf3f,5898bbc9-b421-4de4-8c08-5bd0a3be1c5d,4,27.39,2024-04-09,UPDATE
ea8843aa-f141-43f7-902a-c90a14a830af,e8c9d98c-b49e-4022-9f33-f4ba8dcc9ad3,af24e46d-b2a3-48f2-867d-24ae59d60ec2,2,49.68,2024-01-05,UPDATE
59931ef9-b237-4aa7-841d-f0b8e1ebd00b,e8f0dc91-9d20-4cce-a815-999434f9f006,1004e8af-cff4-400c-b1be-8abc34b06978,5,67.03,2024-03-09,INSERT
407e440d-a10c-4378-ab67-62fa8b91bac1,3a34964e-c9a2-4796-a839-8e08a4dc4822,2612ed37-3e03-4e16-b85f-9968cb6b504f,4,23.91,2024-04-26,UPDATE
06274e68-e0eb-4418-9a6c-9720d1fc5e17,de7addce-d5fc-4187-8238-46e146f198e3,dc11ed2e-40bb-4c1b-8d52-549a1532a3be,3,98.58,2024-01-22,UPDATE
3b811adc-4420-47f7-95c5-ee78a24082c8,a834bc88-f6db-456a-ae33-5fd3d1d37611,51c210d7-144b-4b59-9b2f-795a78636a2e,2,20.01,2024-05-10,DELETE
b5ac4ce1-7d93-4634-85f6-d4ffaf58ad61,871ec4cb-5ec3-43db-9504-384f85631404,80a541ff-2ea8-40c8-babd-2a472803ac80,5,82.73,2024-04-20,UPDATE
39435c60-cd02-4cf6-8953-48ea23e6e668,7630f72f-d789-4729-b060-fa638203f2d6,fc610d91-bd73-4057-81d6-c62cd42b9914,3,69.31,2024-04-11,DELETE
7aa00c39-d26f-4573-ad5c-605edafcdc1f,d9f56770-edf1-40bb-abd2-050006ac4fe7,76ab530e-1f40-4c8f-97d3-d34706af0c13,3,59.8,2024-04-22,UPDATE
aeb55e06-6fd3-40c4-a609-b4456610ca89,cc46fca2-a2a1-4c06-a43d-a01cf6cd4337,26466f02-2862-4a23-9a6d-52e302abf2a8,4,49.06,2024-03-18,UPDATE
7afcaa71-7e90-4444-bc29-e9cabe16be5c,0433bf69-cec8-45c5-8f83-9015a83fa3e1,cfae0826-b255-4bbc-a9c8-c275a333a73b,1,77.31,2024-03-05,UPDATE
82508c37-ee1d-4f55-9c52-61d2c3b3a58c,209bf447-3b04-4909-9dbb-2b5ced730296,b00dbfdb-a79e-4127-92af-0bd3309681d0,5,49.38,2024-05-25,INSERT
2faaef00-0f0b-43df-b840-dfa2cb440a2d,32489628-7bec-47db-b4b5-8c37a6fd1090,b21cc9d7-7107-43a8-b30e-20f1649748aa,2,11.19,2024-03-22,UPDATE
befde647-0f04-40b6-8ba6-079d4c48ff6b,d140dd68-eabe-4bbf-a8ff-060d2905931a,60432529-6620-487f-a705-67eadf3ca270,1,17.05,2024-03-07,UPDATE
5b7a6b18-b68d-4eca-830a-a7b75e13bce0,f949e1f4-6618-401a-bd6d-9e5395ad40c9,d5f46944-0aac-417b-b6d2-506b41c27b76,3,37.26,2024-03-14,UPDATE
a74d8c3a-3177-43fb-8a4f-8e72fc6e2d63,f2db8ff8-a122-48ec-b5a9-c5ec05d0b703,74e0af00-89d6-4282-8a04-1fb55558862b,4,33.86,2024-01-01,DELETE
5009fbb8-2c38-412a-b80e-ba86e3a3307f,c5dfb649-7b52-4e79-8160-c30ccb1bce54,5de22106-0857-4794-96da-7cbfa0ea6b37,1,11.93,2024-04-17,INSERT
23bd7dde-3b5f-456f-be2a-7636e4c55dc1,1a2803b9-3fa8-4789-979f-79bc7b308fea,8fb0e070-693c-47c7-b653-0d09418cd48d,3,34.46,2024-02-07,UPDATE
