product_id,name,category,price,stock_quantity
5823,Tablet,Gadgets,725.75,60
8163,Headphones,Electronics,390.28,63
4247,Headphones,Electronics,749.88,94
7070,Laptop,Gadgets,340.52,1
8279,Laptop,Gadgets,967.46,77
1010,Smartphone,Electronics,205.9,87
3768,Tablet,Gadgets,405.18,70
8626,Headphones,Accessories,526.37,77
9891,Laptop,Electronics,975.84,70
3199,Smartwatch,Accessories,432.68,38
3081,Headphones,Gadgets,517.98,2
2079,Tablet,Gadgets,425.79,11
9281,Headphones,Electronics,177.49,99
6075,Tablet,Electronics,485.32,6
6945,Tablet,Electronics,395.21,20
2266,Tablet,Gadgets,664.76,43
1447,Tablet,Accessories,69.36,46
2315,Smartphone,Electronics,269.95,32
1756,Headphones,Electronics,99.58,25
8647,Smartwatch,Electronics,771.49,74
3369,Smartphone,Gadgets,210.19,90
6611,Laptop,Gadgets,381.83,4
3023,Tablet,Electronics,345.4,27
9286,Smartphone,Accessories,298.61,83
2624,Laptop,Electronics,309.71,35
6171,Tablet,Accessories,253.88,56
5914,Smartphone,Accessories,87.67,77
4569,Tablet,Accessories,234.21,76
1156,Tablet,Gadgets,709.76,87
8841,Tablet,Electronics,307.41,48
5054,Laptop,Electronics,240.28,9
3365,Smartwatch,Gadgets,66.71,85
1402,Smartwatch,Accessories,470.43,41
1807,Laptop,Gadgets,831.49,60
4708,Laptop,Accessories,581.99,55
8087,Tablet,Accessories,451.74,29
2582,Smartwatch,Electronics,308.26,46
1070,Laptop,Accessories,435.75,11
4900,Headphones,Gadgets,470.64,42
3436,Smartwatch,Gadgets,528.06,45
3484,Headphones,Gadgets,965.62,59
8320,Tablet,Gadgets,249.29,42
3542,Smartwatch,Electronics,482.18,67
1992,Smartwatch,Electronics,637.91,35
7092,Smartphone,Electronics,258.22,57
8279,Smartwatch,Gadgets,209.04,35
7060,Laptop,Accessories,243.73,49
6951,Headphones,Gadgets,316.47,29
8565,Headphones,Accessories,787.45,17
8700,Laptop,Electronics,886.94,14
6262,Smartwatch,Gadgets,948.74,21
9785,Tablet,Gadgets,101.24,44
9559,Smartwatch,Accessories,106.81,16
9298,Smartwatch,Accessories,291.18,20
7309,Headphones,Gadgets,347.0,77
